Time,Channel A
(us),(V)

-2.02165006,-0.00939970
-2.01165006,-0.00033570
-2.00165006,-0.00033570
-1.99165006,-0.00033570
-1.98165006,-0.00033570
-1.97165006,-0.00939970
-1.96165006,-0.00939970
-1.95165006,-0.00033570
-1.94165006,-0.00939970
-1.93165006,-0.00033570
-1.92165006,-0.00939970
-1.91165006,-0.00939970
-1.90165006,-0.00939970
-1.89165006,-0.00033570
-1.88165006,-0.00939970
-1.87165006,-0.00939970
-1.86165006,-0.00033570
-1.85165006,-0.00033570
-1.84165006,-0.00033570
-1.83165006,-0.00033570
-1.82165006,-0.00033570
-1.81165006,-0.00033570
-1.80165006,-0.00033570
-1.79165006,-0.00033570
-1.78165006,-0.00033570
-1.77165006,-0.00033570
-1.76165006,-0.00033570
-1.75165006,-0.00939970
-1.74165006,-0.00939970
-1.73165006,-0.00939970
-1.72165006,-0.00939970
-1.71165006,-0.00939970
-1.70165006,-0.00939970
-1.69165006,-0.00939970
-1.68165006,-0.00033570
-1.67165006,-0.00033570
-1.66165006,-0.00033570
-1.65165006,-0.00033570
-1.64165006,-0.00939970
-1.63165006,-0.00033570
-1.62165006,-0.00033570
-1.61165006,-0.00033570
-1.60165006,-0.00033570
-1.59165006,-0.00033570
-1.58165006,-0.00033570
-1.57165006,-0.00033570
-1.56165006,-0.00939970
-1.55165006,-0.00939970
-1.54165006,-0.00939970
-1.53165006,-0.00033570
-1.52165006,-0.00939970
-1.51165006,-0.00033570
-1.50165006,-0.00939970
-1.49165006,-0.00939970
-1.48165006,-0.00033570
-1.47165006,-0.00033570
-1.46165006,-0.00939970
-1.45165007,-0.00033570
-1.44165007,-0.00033570
-1.43165007,-0.00033570
-1.42165007,-0.00033570
-1.41165007,-0.00033570
-1.40165007,-0.00939970
-1.39165007,-0.00939970
-1.38165007,-0.00033570
-1.37165007,-0.00033570
-1.36165007,-0.00033570
-1.35165007,-0.00033570
-1.34165007,-0.00033570
-1.33165007,-0.00033570
-1.32165007,-0.00033570
-1.31165007,-0.00033570
-1.30165007,-0.00939970
-1.29165007,-0.00033570
-1.28165007,-0.00033570
-1.27165007,-0.00033570
-1.26165007,-0.00033570
-1.25165007,-0.00033570
-1.24165007,-0.00033570
-1.23165007,-0.00939970
-1.22165007,-0.00939970
-1.21165007,-0.00033570
-1.20165007,-0.00939970
-1.19165007,-0.00033570
-1.18165007,-0.00033570
-1.17165007,-0.00033570
-1.16165007,-0.00033570
-1.15165007,-0.00939970
-1.14165007,-0.00939970
