Time,Channel A
(us),(V)

-2.02960405,-0.00033570
-2.01960405,-0.00939970
-2.00960405,-0.00033570
-1.99960405,-0.00033570
-1.98960405,-0.00033570
-1.97960405,-0.00033570
-1.96960405,-0.00939970
-1.95960405,-0.00939970
-1.94960405,-0.00939970
-1.93960405,-0.00939970
-1.92960405,-0.00939970
-1.91960405,-0.00939970
-1.90960405,-0.00033570
-1.89960405,-0.00939970
-1.88960405,-0.00033570
-1.87960405,-0.00033570
-1.86960405,-0.00033570
-1.85960405,-0.00033570
-1.84960405,-0.00033570
-1.83960405,-0.00033570
-1.82960405,-0.00939970
-1.81960405,-0.01843318
-1.80960405,-0.00939970
-1.79960405,-0.00939970
-1.78960405,-0.00939970
-1.77960405,-0.00939970
-1.76960405,-0.00939970
-1.75960405,-0.00939970
-1.74960405,-0.00033570
-1.73960405,-0.00033570
-1.72960405,-0.00033570
-1.71960405,-0.00939970
-1.70960405,-0.00033570
-1.69960405,-0.00939970
-1.68960405,-0.00939970
-1.67960405,-0.00033570
-1.66960405,-0.00033570
-1.65960405,-0.00033570
-1.64960405,-0.00939970
-1.63960405,-0.00939970
-1.62960405,-0.00939970
-1.61960405,-0.00033570
-1.60960405,-0.00033570
-1.59960405,-0.00939970
-1.58960405,-0.00033570
-1.57960405,-0.00939970
-1.56960405,-0.00033570
-1.55960405,-0.00033570
-1.54960405,-0.00033570
-1.53960405,-0.00033570
-1.52960405,-0.00033570
-1.51960405,-0.00939970
-1.50960405,-0.00939970
-1.49960405,-0.00939970
-1.48960405,-0.00939970
-1.47960405,-0.00939970
-1.46960405,-0.00939970
-1.45960405,-0.00033570
-1.44960405,-0.00033570
-1.43960405,-0.00033570
-1.42960405,-0.00939970
-1.41960405,-0.00033570
-1.40960405,-0.00939970
-1.39960405,-0.00033570
-1.38960405,-0.00939970
-1.37960405,-0.00033570
-1.36960405,-0.00939970
-1.35960405,-0.00939970
-1.34960405,-0.00939970
-1.33960405,-0.00939970
-1.32960405,-0.00033570
-1.31960405,-0.00939970
-1.30960405,-0.00033570
-1.29960405,-0.00939970
-1.28960405,-0.00939970
-1.27960405,-0.00939970
-1.26960405,-0.00033570
-1.25960405,-0.00033570
-1.24960405,-0.00033570
-1.23960405,-0.00033570
-1.22960405,-0.00939970
-1.21960405,-0.00939970
-1.20960405,-0.00939970
-1.19960405,-0.00033570
-1.18960405,-0.00033570
-1.17960405,-0.00939970
-1.16960405,-0.00033570
-1.15960405,-0.00939970
-1.14960405,-0.00033570
