Time,Channel A
(us),(V)

-2.02732303,-0.00033570
-2.01732303,-0.00033570
-2.00732303,-0.01843318
-1.99732303,-0.00939970
-1.98732304,-0.00033570
-1.97732304,0.00869778
-1.96732304,0.00869778
-1.95732304,-0.00033570
-1.94732304,-0.00033570
-1.93732304,-0.00033570
-1.92732304,-0.00033570
-1.91732304,-0.00033570
-1.90732304,-0.00033570
-1.89732304,-0.00939970
-1.88732304,-0.00033570
-1.87732304,-0.00939970
-1.86732304,-0.00939970
-1.85732304,-0.00033570
-1.84732304,0.00869778
-1.83732304,0.00869778
-1.82732304,-0.00033570
-1.81732304,-0.01843318
-1.80732304,-0.01843318
-1.79732304,-0.01843318
-1.78732304,-0.00939970
-1.77732304,-0.00939970
-1.76732304,-0.00939970
-1.75732304,-0.00033570
-1.74732304,-0.00033570
-1.73732304,-0.00033570
-1.72732304,-0.00033570
-1.71732304,0.00869778
-1.70732304,-0.00033570
-1.69732304,-0.00033570
-1.68732304,-0.00939970
-1.67732304,-0.00939970
-1.66732304,-0.00939970
-1.65732304,-0.00033570
-1.64732304,-0.00033570
-1.63732304,-0.00033570
-1.62732304,-0.00033570
-1.61732304,-0.00033570
-1.60732304,-0.00033570
-1.59732304,-0.00033570
-1.58732304,-0.00033570
-1.57732304,-0.00033570
-1.56732304,-0.00033570
-1.55732304,-0.00939970
-1.54732304,-0.00939970
-1.53732304,-0.00033570
-1.52732304,-0.00033570
-1.51732304,-0.00033570
-1.50732304,-0.00033570
-1.49732304,-0.00033570
-1.48732304,-0.00033570
-1.47732304,-0.00033570
-1.46732304,-0.00033570
-1.45732304,-0.00939970
-1.44732304,-0.00033570
-1.43732304,-0.00939970
-1.42732304,-0.00033570
-1.41732304,-0.00033570
-1.40732304,-0.00033570
-1.39732304,-0.00033570
-1.38732304,-0.00033570
-1.37732304,-0.00033570
-1.36732304,-0.00939970
-1.35732304,-0.00939970
-1.34732304,-0.00939970
-1.33732304,-0.00033570
-1.32732304,-0.00033570
-1.31732304,-0.00033570
-1.30732304,-0.00033570
-1.29732304,-0.00033570
-1.28732304,-0.00939970
-1.27732304,-0.00939970
-1.26732304,-0.00939970
-1.25732304,-0.00033570
-1.24732304,-0.00939970
-1.23732304,-0.00033570
-1.22732304,-0.00033570
-1.21732304,-0.00939970
-1.20732304,-0.00033570
-1.19732304,-0.00033570
-1.18732304,-0.00033570
-1.17732304,-0.00033570
-1.16732304,-0.00939970
-1.15732304,-0.00033570
-1.14732304,-0.00033570
