Time,Channel A
(us),(V)

-2.02263300,-0.00033570
-2.01263300,-0.00033570
-2.00263300,-0.00033570
-1.99263300,-0.00033570
-1.98263300,-0.00033570
-1.97263300,-0.00033570
-1.96263300,-0.00033570
-1.95263300,-0.00033570
-1.94263300,-0.00033570
-1.93263300,-0.00033570
-1.92263300,-0.00033570
-1.91263300,-0.00939970
-1.90263300,-0.00033570
-1.89263300,-0.00033570
-1.88263300,-0.00033570
-1.87263300,-0.00033570
-1.86263300,-0.00033570
-1.85263300,-0.00033570
-1.84263300,-0.00033570
-1.83263300,-0.00033570
-1.82263300,-0.00033570
-1.81263300,-0.00033570
-1.80263300,-0.00033570
-1.79263300,-0.00033570
-1.78263300,-0.00033570
-1.77263300,-0.00033570
-1.76263300,-0.00939970
-1.75263300,-0.00033570
-1.74263300,-0.00033570
-1.73263300,-0.00033570
-1.72263300,-0.00033570
-1.71263300,-0.00033570
-1.70263300,-0.00033570
-1.69263300,-0.00033570
-1.68263300,-0.00033570
-1.67263300,-0.00033570
-1.66263300,-0.01843318
-1.65263300,-0.01843318
-1.64263300,-0.00033570
-1.63263300,0.00869778
-1.62263300,0.00869778
-1.61263300,0.00869778
-1.60263300,-0.00033570
-1.59263300,-0.00033570
-1.58263300,-0.00033570
-1.57263300,-0.00033570
-1.56263300,-0.00033570
-1.55263300,-0.00033570
-1.54263300,-0.00939970
-1.53263300,-0.00939970
-1.52263300,-0.00939970
-1.51263300,-0.00033570
-1.50263300,-0.00033570
-1.49263300,0.01776177
-1.48263300,0.01776177
-1.47263300,-0.00939970
-1.46263300,-0.00939970
-1.45263300,-0.00939970
-1.44263300,-0.00939970
-1.43263300,-0.00033570
-1.42263300,-0.00033570
-1.41263300,-0.00939970
-1.40263300,-0.00033570
-1.39263300,-0.00033570
-1.38263300,-0.00033570
-1.37263300,-0.00033570
-1.36263300,-0.00033570
-1.35263300,-0.00033570
-1.34263300,-0.00939970
-1.33263300,-0.00939970
-1.32263300,-0.00939970
-1.31263300,-0.00033570
-1.30263300,-0.00033570
-1.29263300,-0.00033570
-1.28263300,-0.00033570
-1.27263300,-0.00033570
-1.26263300,-0.00033570
-1.25263300,-0.00033570
-1.24263300,-0.00033570
-1.23263300,-0.00033570
-1.22263300,-0.00939970
-1.21263300,-0.00033570
-1.20263300,-0.00033570
-1.19263300,-0.00033570
-1.18263300,-0.00033570
-1.17263300,-0.00033570
-1.16263300,-0.00033570
-1.15263300,-0.00939970
-1.14263300,-0.00033570
