Time,Channel A
(us),(V)

-2.02385809,-0.01843318
-2.01385809,-0.01843318
-2.00385809,-0.00939970
-1.99385809,-0.00033570
-1.98385809,-0.00033570
-1.97385809,-0.00939970
-1.96385809,-0.00033570
-1.95385809,-0.00033570
-1.94385809,-0.00033570
-1.93385809,-0.00033570
-1.92385809,-0.00939970
-1.91385809,-0.00939970
-1.90385809,-0.00939970
-1.89385809,-0.00939970
-1.88385809,-0.00939970
-1.87385809,-0.00939970
-1.86385809,-0.00033570
-1.85385809,0.00869778
-1.84385809,0.00869778
-1.83385809,-0.01843318
-1.82385809,-0.01843318
-1.81385809,-0.01843318
-1.80385809,-0.00939970
-1.79385809,-0.00033570
-1.78385809,-0.00939970
-1.77385809,-0.01843318
-1.76385809,-0.00033570
-1.75385809,-0.00033570
-1.74385809,-0.00033570
-1.73385809,0.00869778
-1.72385809,-0.00033570
-1.71385809,-0.00033570
-1.70385809,-0.00939970
-1.69385809,-0.00939970
-1.68385809,-0.01843318
-1.67385809,-0.00939970
-1.66385809,-0.00939970
-1.65385809,-0.00939970
-1.64385809,-0.00033570
-1.63385809,-0.00033570
-1.62385809,-0.00939970
-1.61385809,-0.00033570
-1.60385809,-0.00939970
-1.59385809,-0.00939970
-1.58385809,-0.00939970
-1.57385809,-0.00939970
-1.56385809,-0.00939970
-1.55385809,-0.00939970
-1.54385809,-0.00939970
-1.53385809,-0.00033570
-1.52385809,-0.00033570
-1.51385809,-0.00033570
-1.50385809,-0.00033570
-1.49385809,-0.00033570
-1.48385809,-0.00033570
-1.47385809,-0.00033570
-1.46385809,-0.00939970
-1.45385809,-0.00939970
-1.44385809,-0.00939970
-1.43385809,-0.00939970
-1.42385809,-0.00939970
-1.41385809,-0.00939970
-1.40385809,-0.00939970
-1.39385809,-0.00033570
-1.38385809,-0.00033570
-1.37385809,-0.00033570
-1.36385809,-0.00033570
-1.35385809,-0.00939970
-1.34385809,-0.00033570
-1.33385809,-0.00939970
-1.32385809,-0.00033570
-1.31385809,-0.00033570
-1.30385809,-0.00033570
-1.29385809,-0.00939970
-1.28385809,-0.00939970
-1.27385809,-0.00939970
-1.26385809,-0.00939970
-1.25385809,-0.00939970
-1.24385809,-0.00939970
-1.23385809,-0.00939970
-1.22385809,-0.00033570
-1.21385809,-0.00033570
-1.20385809,-0.00033570
-1.19385809,-0.00033570
-1.18385809,-0.00033570
-1.17385809,-0.00939970
-1.16385809,-0.00033570
-1.15385809,-0.00939970
-1.14385809,-0.00033570
