Time,Channel A
(us),(V)

-2.02639603,-0.00939970
-2.01639603,-0.00033570
-2.00639603,-0.00033570
-1.99639603,-0.00939970
-1.98639603,-0.00033570
-1.97639603,-0.00939970
-1.96639603,-0.00939970
-1.95639603,-0.00939970
-1.94639603,-0.00033570
-1.93639603,-0.00033570
-1.92639603,-0.00033570
-1.91639603,-0.00033570
-1.90639603,-0.00033570
-1.89639603,-0.00033570
-1.88639603,-0.00033570
-1.87639603,-0.00033570
-1.86639603,-0.00033570
-1.85639603,-0.00033570
-1.84639603,-0.00033570
-1.83639603,-0.00939970
-1.82639603,-0.00939970
-1.81639603,-0.00939970
-1.80639603,-0.00939970
-1.79639603,-0.00033570
-1.78639603,-0.00033570
-1.77639603,-0.00033570
-1.76639603,-0.00033570
-1.75639603,-0.00033570
-1.74639603,-0.00033570
-1.73639603,-0.00939970
-1.72639603,-0.00033570
-1.71639603,-0.00033570
-1.70639603,-0.00033570
-1.69639603,-0.00033570
-1.68639603,-0.00939970
-1.67639603,-0.00033570
-1.66639603,-0.00033570
-1.65639603,-0.00033570
-1.64639603,-0.00033570
-1.63639603,-0.00939970
-1.62639603,-0.00033570
-1.61639603,-0.00033570
-1.60639603,-0.00939970
-1.59639603,-0.00033570
-1.58639603,-0.00033570
-1.57639604,-0.00033570
-1.56639604,-0.00939970
-1.55639604,-0.00939970
-1.54639604,-0.00033570
-1.53639604,-0.00033570
-1.52639604,-0.00033570
-1.51639604,-0.00033570
-1.50639604,-0.00033570
-1.49639604,-0.00939970
-1.48639604,-0.00033570
-1.47639604,-0.00033570
-1.46639604,-0.00033570
-1.45639604,-0.00033570
-1.44639604,-0.00033570
-1.43639604,-0.00939970
-1.42639604,-0.00033570
-1.41639604,-0.00033570
-1.40639604,-0.00033570
-1.39639604,-0.00033570
-1.38639604,-0.00033570
-1.37639604,-0.00033570
-1.36639604,-0.00033570
-1.35639604,-0.00033570
-1.34639604,-0.00033570
-1.33639604,-0.00033570
-1.32639604,-0.00939970
-1.31639604,-0.00939970
-1.30639604,-0.00033570
-1.29639604,-0.00033570
-1.28639604,-0.00033570
-1.27639604,-0.00033570
-1.26639604,-0.00939970
-1.25639604,-0.00033570
-1.24639604,-0.00939970
-1.23639604,-0.00033570
-1.22639604,-0.00033570
-1.21639604,-0.00033570
-1.20639604,-0.00033570
-1.19639604,-0.00939970
-1.18639604,-0.00033570
-1.17639604,-0.00939970
-1.16639604,-0.00939970
-1.15639604,-0.00033570
-1.14639604,-0.00033570
