Time,Channel A
(us),(V)

-2.02780393,-0.00033570
-2.01780393,-0.00033570
-2.00780393,-0.00033570
-1.99780393,-0.00939970
-1.98780393,-0.00033570
-1.97780393,-0.00939970
-1.96780393,-0.00939970
-1.95780393,-0.00033570
-1.94780393,-0.00033570
-1.93780393,-0.00033570
-1.92780393,-0.00939970
-1.91780393,-0.00033570
-1.90780393,-0.00033570
-1.89780393,-0.00033570
-1.88780393,-0.00033570
-1.87780393,-0.00033570
-1.86780393,-0.00033570
-1.85780393,-0.00033570
-1.84780393,-0.00033570
-1.83780393,-0.00033570
-1.82780393,-0.00033570
-1.81780393,-0.00033570
-1.80780393,-0.00939970
-1.79780393,-0.00939970
-1.78780393,-0.00033570
-1.77780393,-0.00033570
-1.76780393,-0.00939970
-1.75780393,-0.00939970
-1.74780393,-0.00033570
-1.73780393,-0.00033570
-1.72780393,-0.00033570
-1.71780393,-0.00033570
-1.70780393,-0.00033570
-1.69780393,-0.00033570
-1.68780393,-0.00033570
-1.67780393,-0.00033570
-1.66780393,-0.00033570
-1.65780393,-0.00033570
-1.64780393,-0.00939970
-1.63780393,-0.00939970
-1.62780393,-0.00033570
-1.61780393,-0.00033570
-1.60780393,-0.00033570
-1.59780393,-0.00033570
-1.58780393,-0.00033570
-1.57780393,-0.00033570
-1.56780393,-0.00033570
-1.55780393,-0.00033570
-1.54780393,-0.00033570
-1.53780393,-0.00939970
-1.52780393,-0.00033570
-1.51780393,-0.00939970
-1.50780393,-0.00033570
-1.49780393,-0.00033570
-1.48780393,-0.00033570
-1.47780393,-0.00033570
-1.46780393,-0.00033570
-1.45780393,-0.00939970
-1.44780393,-0.00939970
-1.43780393,-0.00033570
-1.42780393,-0.00033570
-1.41780393,-0.00033570
-1.40780393,-0.00033570
-1.39780393,-0.00033570
-1.38780393,-0.00033570
-1.37780393,-0.00033570
-1.36780393,-0.00033570
-1.35780393,-0.00939970
-1.34780393,-0.00033570
-1.33780393,-0.00033570
-1.32780393,-0.00033570
-1.31780393,-0.00033570
-1.30780393,-0.00033570
-1.29780393,-0.00033570
-1.28780393,-0.00033570
-1.27780393,-0.00033570
-1.26780393,-0.00033570
-1.25780393,-0.00033570
-1.24780393,-0.00033570
-1.23780393,-0.00033570
-1.22780393,-0.00033570
-1.21780394,-0.00033570
-1.20780394,0.01776177
-1.19780394,0.01776177
-1.18780394,-0.00033570
-1.17780394,-0.01843318
-1.16780394,-0.01843318
-1.15780394,-0.01843318
-1.14780394,-0.00939970
