Time,Channel A
(us),(V)

-2.02571505,-0.00033570
-2.01571505,-0.00939970
-2.00571505,-0.01843318
-1.99571505,-0.00033570
-1.98571505,-0.00033570
-1.97571505,-0.00033570
-1.96571505,-0.00033570
-1.95571505,-0.00939970
-1.94571505,-0.00033570
-1.93571505,-0.00033570
-1.92571505,-0.00033570
-1.91571505,-0.00033570
-1.90571505,-0.00939970
-1.89571505,-0.00939970
-1.88571505,-0.00939970
-1.87571505,-0.00939970
-1.86571505,-0.00033570
-1.85571505,-0.00033570
-1.84571505,0.01776177
-1.83571505,0.01776177
-1.82571505,-0.00939970
-1.81571505,-0.00939970
-1.80571505,-0.00939970
-1.79571505,-0.00033570
-1.78571505,-0.00033570
-1.77571505,-0.00939970
-1.76571505,-0.00939970
-1.75571505,-0.00033570
-1.74571505,-0.00033570
-1.73571505,-0.00033570
-1.72571505,-0.00033570
-1.71571505,-0.00033570
-1.70571505,-0.00033570
-1.69571505,-0.00033570
-1.68571505,-0.00939970
-1.67571505,-0.00033570
-1.66571505,-0.00033570
-1.65571505,-0.00033570
-1.64571505,-0.00033570
-1.63571505,-0.00033570
-1.62571505,-0.00033570
-1.61571505,-0.00033570
-1.60571505,-0.00033570
-1.59571505,-0.00033570
-1.58571505,-0.00033570
-1.57571505,-0.00033570
-1.56571505,-0.00033570
-1.55571505,-0.00033570
-1.54571505,-0.00033570
-1.53571505,-0.00033570
-1.52571505,-0.00033570
-1.51571505,-0.00033570
-1.50571505,-0.00033570
-1.49571505,-0.00033570
-1.48571505,-0.00939970
-1.47571505,-0.00033570
-1.46571505,-0.00033570
-1.45571505,-0.00033570
-1.44571505,-0.00033570
-1.43571505,-0.00939970
-1.42571505,-0.00033570
-1.41571505,-0.00939970
-1.40571505,-0.00033570
-1.39571505,-0.00033570
-1.38571505,-0.00033570
-1.37571505,-0.00033570
-1.36571505,-0.00033570
-1.35571505,-0.00939970
-1.34571505,-0.00939970
-1.33571505,-0.00033570
-1.32571505,-0.00033570
-1.31571505,-0.00033570
-1.30571505,-0.00033570
-1.29571505,-0.00939970
-1.28571505,-0.00033570
-1.27571505,-0.00033570
-1.26571505,-0.00033570
-1.25571505,-0.00033570
-1.24571505,-0.00033570
-1.23571505,-0.00033570
-1.22571505,-0.00033570
-1.21571505,-0.00033570
-1.20571505,-0.00033570
-1.19571505,-0.00033570
-1.18571505,-0.00033570
-1.17571505,-0.00033570
-1.16571505,-0.00033570
-1.15571505,-0.00033570
-1.14571505,-0.00033570
