Time,Channel A
(us),(V)

-2.02575507,-0.00033570
-2.01575507,-0.00033570
-2.00575507,-0.00033570
-1.99575507,-0.00033570
-1.98575507,-0.00033570
-1.97575507,-0.00033570
-1.96575507,-0.00033570
-1.95575507,-0.00033570
-1.94575507,-0.00939970
-1.93575507,-0.00033570
-1.92575507,-0.00033570
-1.91575507,-0.00033570
-1.90575507,-0.00033570
-1.89575507,-0.00033570
-1.88575507,-0.00939970
-1.87575507,-0.00033570
-1.86575507,-0.00033570
-1.85575507,-0.00033570
-1.84575507,-0.00033570
-1.83575507,-0.00033570
-1.82575507,-0.00033570
-1.81575507,-0.00033570
-1.80575507,-0.00033570
-1.79575507,-0.00033570
-1.78575507,-0.00033570
-1.77575507,-0.00033570
-1.76575507,-0.00033570
-1.75575507,-0.00033570
-1.74575507,-0.00033570
-1.73575507,-0.00939970
-1.72575507,-0.00939970
-1.71575507,-0.00033570
-1.70575507,0.00869778
-1.69575507,0.01776177
-1.68575507,0.00869778
-1.67575507,-0.00939970
-1.66575507,-0.01843318
-1.65575507,-0.01843318
-1.64575507,-0.00939970
-1.63575507,-0.00033570
-1.62575507,-0.00033570
-1.61575507,-0.00033570
-1.60575507,-0.00033570
-1.59575507,-0.00033570
-1.58575507,-0.00033570
-1.57575507,-0.00033570
-1.56575507,0.00869778
-1.55575507,0.00869778
-1.54575507,-0.00939970
-1.53575507,-0.01843318
-1.52575507,-0.01843318
-1.51575507,-0.00939970
-1.50575507,0.01776177
-1.49575507,0.01776177
-1.48575507,0.01776177
-1.47575507,-0.00033570
-1.46575507,-0.00939970
-1.45575507,-0.00939970
-1.44575507,-0.00033570
-1.43575507,-0.00033570
-1.42575507,-0.00939970
-1.41575507,-0.00939970
-1.40575507,-0.00939970
-1.39575507,-0.00939970
-1.38575507,-0.00033570
-1.37575507,-0.00033570
-1.36575507,0.00869778
-1.35575507,-0.00033570
-1.34575507,-0.00033570
-1.33575507,-0.00033570
-1.32575507,-0.00033570
-1.31575507,-0.00939970
-1.30575507,-0.00033570
-1.29575507,-0.00939970
-1.28575507,-0.00939970
-1.27575507,-0.00033570
-1.26575507,-0.00033570
-1.25575507,-0.00033570
-1.24575507,-0.00033570
-1.23575507,-0.00033570
-1.22575507,-0.00033570
-1.21575507,-0.00033570
-1.20575507,-0.00033570
-1.19575507,-0.00033570
-1.18575507,-0.00033570
-1.17575507,-0.00033570
-1.16575507,-0.00033570
-1.15575507,-0.00033570
-1.14575507,-0.00033570
