Time,Channel A
(us),(V)

-2.02910292,-0.00939970
-2.01910292,-0.00033570
-2.00910292,-0.00033570
-1.99910292,-0.00939970
-1.98910292,-0.00033570
-1.97910292,-0.00033570
-1.96910292,-0.00033570
-1.95910292,-0.00939970
-1.94910292,-0.00033570
-1.93910292,-0.00033570
-1.92910292,-0.00033570
-1.91910292,-0.00033570
-1.90910292,-0.00939970
-1.89910292,-0.00033570
-1.88910292,-0.00939970
-1.87910292,-0.00033570
-1.86910292,-0.00033570
-1.85910292,-0.00033570
-1.84910292,-0.00033570
-1.83910292,0.00869778
-1.82910292,-0.00033570
-1.81910292,-0.00033570
-1.80910292,-0.01843318
-1.79910292,-0.01843318
-1.78910292,-0.01843318
-1.77910292,-0.00939970
-1.76910292,-0.00939970
-1.75910292,-0.00939970
-1.74910292,-0.00939970
-1.73910292,-0.00033570
-1.72910292,-0.00033570
-1.71910292,-0.00033570
-1.70910292,-0.00033570
-1.69910292,-0.00033570
-1.68910292,-0.00033570
-1.67910292,-0.00939970
-1.66910292,-0.00939970
-1.65910292,-0.00033570
-1.64910292,-0.00033570
-1.63910292,-0.00033570
-1.62910292,-0.00033570
-1.61910292,-0.00033570
-1.60910292,-0.00939970
-1.59910292,-0.00033570
-1.58910292,-0.00033570
-1.57910292,-0.00033570
-1.56910292,-0.00033570
-1.55910292,-0.00033570
-1.54910292,-0.00033570
-1.53910292,-0.00939970
-1.52910292,-0.00939970
-1.51910292,-0.00939970
-1.50910292,-0.00939970
-1.49910292,-0.00939970
-1.48910292,-0.00939970
-1.47910292,-0.00939970
-1.46910292,-0.00033570
-1.45910292,-0.00033570
-1.44910292,-0.00033570
-1.43910292,-0.00033570
-1.42910292,-0.00033570
-1.41910292,-0.00033570
-1.40910292,-0.00033570
-1.39910292,-0.00939970
-1.38910292,-0.00033570
-1.37910292,-0.00939970
-1.36910292,-0.00939970
-1.35910292,-0.00939970
-1.34910292,-0.00939970
-1.33910292,-0.00033570
-1.32910292,-0.00033570
-1.31910292,-0.00033570
-1.30910292,-0.00033570
-1.29910292,-0.00033570
-1.28910292,-0.00939970
-1.27910292,-0.00033570
-1.26910292,-0.00033570
-1.25910292,-0.00033570
-1.24910292,-0.00033570
-1.23910292,-0.00939970
-1.22910292,-0.00033570
-1.21910292,-0.00033570
-1.20910292,-0.00033570
-1.19910292,-0.00033570
-1.18910292,-0.00033570
-1.17910292,-0.00033570
-1.16910292,-0.00033570
-1.15910292,-0.00939970
-1.14910292,-0.00939970
