Time,Channel A
(us),(V)

-2.02440901,-0.00033570
-2.01440901,-0.00033570
-2.00440901,-0.00939970
-1.99440901,-0.00033570
-1.98440901,-0.00033570
-1.97440901,-0.00939970
-1.96440901,-0.00939970
-1.95440901,-0.00939970
-1.94440901,-0.00033570
-1.93440901,-0.00033570
-1.92440901,-0.00033570
-1.91440901,-0.00033570
-1.90440901,-0.00033570
-1.89440901,-0.00939970
-1.88440901,-0.00939970
-1.87440901,-0.00939970
-1.86440901,-0.00939970
-1.85440901,-0.00033570
-1.84440901,-0.00033570
-1.83440901,-0.00033570
-1.82440901,-0.00033570
-1.81440902,-0.00033570
-1.80440902,-0.00033570
-1.79440902,-0.00033570
-1.78440902,-0.00939970
-1.77440902,-0.00033570
-1.76440902,-0.00939970
-1.75440902,-0.00033570
-1.74440902,-0.00033570
-1.73440902,-0.00033570
-1.72440902,-0.00033570
-1.71440902,-0.00033570
-1.70440902,-0.00033570
-1.69440902,-0.00033570
-1.68440902,-0.00033570
-1.67440902,-0.00939970
-1.66440902,-0.00939970
-1.65440902,-0.00939970
-1.64440902,-0.00033570
-1.63440902,-0.00033570
-1.62440902,-0.00033570
-1.61440902,-0.00033570
-1.60440902,-0.00033570
-1.59440902,-0.00033570
-1.58440902,-0.00033570
-1.57440902,-0.00033570
-1.56440902,-0.00939970
-1.55440902,-0.00033570
-1.54440902,-0.00033570
-1.53440902,-0.00033570
-1.52440902,-0.00033570
-1.51440902,-0.00033570
-1.50440902,-0.00033570
-1.49440902,-0.00033570
-1.48440902,-0.00033570
-1.47440902,-0.00033570
-1.46440902,-0.00033570
-1.45440902,-0.00033570
-1.44440902,-0.00033570
-1.43440902,-0.00033570
-1.42440902,-0.00939970
-1.41440902,-0.00033570
-1.40440902,-0.00033570
-1.39440902,-0.00939970
-1.38440902,-0.00033570
-1.37440902,-0.00033570
-1.36440902,-0.00033570
-1.35440902,-0.00033570
-1.34440902,-0.00939970
-1.33440902,-0.00033570
-1.32440902,-0.00939970
-1.31440902,-0.00033570
-1.30440902,-0.00033570
-1.29440902,-0.00033570
-1.28440902,-0.00033570
-1.27440902,-0.00033570
-1.26440902,-0.00033570
-1.25440902,-0.00939970
-1.24440902,-0.00033570
-1.23440902,-0.00939970
-1.22440902,-0.00033570
-1.21440902,-0.00033570
-1.20440902,-0.00033570
-1.19440902,-0.00033570
-1.18440902,-0.00033570
-1.17440902,-0.00033570
-1.16440902,-0.00033570
-1.15440902,-0.00033570
-1.14440902,-0.00033570
