Time,Channel A
(us),(V)

-2.02374895,-0.00939970
-2.01374895,-0.00939970
-2.00374895,-0.00033570
-1.99374895,-0.00033570
-1.98374895,-0.00033570
-1.97374895,-0.00033570
-1.96374895,-0.00033570
-1.95374895,-0.00939970
-1.94374895,-0.00939970
-1.93374895,-0.00033570
-1.92374895,-0.00033570
-1.91374895,-0.00033570
-1.90374895,-0.00033570
-1.89374895,-0.00939970
-1.88374895,-0.00033570
-1.87374895,-0.00033570
-1.86374895,-0.00033570
-1.85374895,-0.00033570
-1.84374895,-0.00939970
-1.83374895,-0.00033570
-1.82374895,-0.00033570
-1.81374895,-0.00033570
-1.80374895,-0.00939970
-1.79374895,-0.00939970
-1.78374895,-0.00033570
-1.77374895,-0.00939970
-1.76374895,-0.01843318
-1.75374895,-0.01843318
-1.74374895,-0.00033570
-1.73374895,0.00869778
-1.72374895,-0.00033570
-1.71374895,-0.00033570
-1.70374895,-0.00033570
-1.69374895,-0.00033570
-1.68374895,-0.00033570
-1.67374895,-0.00033570
-1.66374895,-0.00033570
-1.65374895,-0.00033570
-1.64374895,-0.00939970
-1.63374895,-0.00939970
-1.62374895,-0.00939970
-1.61374895,-0.00033570
-1.60374895,-0.00033570
-1.59374895,0.01776177
-1.58374895,0.00869778
-1.57374895,-0.00939970
-1.56374895,-0.01843318
-1.55374895,-0.00939970
-1.54374895,-0.00939970
-1.53374895,-0.00033570
-1.52374895,-0.00033570
-1.51374895,-0.00939970
-1.50374895,-0.00939970
-1.49374895,-0.00033570
-1.48374895,-0.00033570
-1.47374895,-0.00033570
-1.46374895,-0.00033570
-1.45374895,-0.00033570
-1.44374895,-0.00033570
-1.43374895,-0.00939970
-1.42374895,-0.00939970
-1.41374895,-0.00939970
-1.40374895,-0.00033570
-1.39374895,-0.00033570
-1.38374895,-0.00033570
-1.37374895,-0.00939970
-1.36374895,-0.00033570
-1.35374895,-0.00033570
-1.34374895,-0.00033570
-1.33374895,-0.00033570
-1.32374895,-0.00033570
-1.31374895,-0.00033570
-1.30374895,-0.00033570
-1.29374895,-0.00033570
-1.28374895,-0.00033570
-1.27374895,-0.00033570
-1.26374895,-0.00033570
-1.25374895,-0.00033570
-1.24374895,-0.00033570
-1.23374895,-0.00033570
-1.22374895,-0.00033570
-1.21374895,-0.00939970
-1.20374895,-0.00033570
-1.19374895,-0.00939970
-1.18374895,-0.00939970
-1.17374895,-0.00939970
-1.16374895,-0.00939970
-1.15374895,-0.00939970
-1.14374895,-0.00033570
