Time,Channel A
(us),(V)

-2.02876890,-0.00033570
-2.01876890,-0.00033570
-2.00876890,-0.00033570
-1.99876890,-0.00939970
-1.98876890,-0.00939970
-1.97876890,-0.00033570
-1.96876890,-0.00033570
-1.95876890,-0.00033570
-1.94876890,-0.00033570
-1.93876890,-0.00033570
-1.92876890,-0.00033570
-1.91876890,-0.00939970
-1.90876890,-0.00939970
-1.89876890,-0.00033570
-1.88876890,-0.00033570
-1.87876890,-0.00033570
-1.86876890,-0.00033570
-1.85876891,-0.00033570
-1.84876891,-0.00033570
-1.83876891,-0.00033570
-1.82876891,-0.00033570
-1.81876891,-0.00033570
-1.80876891,-0.00033570
-1.79876891,-0.00939970
-1.78876891,-0.00033570
-1.77876891,-0.00033570
-1.76876891,-0.00939970
-1.75876891,-0.00033570
-1.74876891,-0.00939970
-1.73876891,-0.00033570
-1.72876891,-0.00033570
-1.71876891,-0.00033570
-1.70876891,-0.00033570
-1.69876891,-0.00033570
-1.68876891,-0.00939970
-1.67876891,-0.00033570
-1.66876891,-0.00033570
-1.65876891,-0.00033570
-1.64876891,-0.00033570
-1.63876891,-0.00033570
-1.62876891,-0.00033570
-1.61876891,-0.00033570
-1.60876891,-0.00033570
-1.59876891,-0.00033570
-1.58876891,-0.00033570
-1.57876891,-0.00939970
-1.56876891,-0.00939970
-1.55876891,-0.00033570
-1.54876891,-0.00033570
-1.53876891,-0.00939970
-1.52876891,-0.00033570
-1.51876891,-0.00033570
-1.50876891,-0.00033570
-1.49876891,-0.00033570
-1.48876891,-0.00033570
-1.47876891,-0.00033570
-1.46876891,-0.00033570
-1.45876891,-0.00033570
-1.44876891,-0.00939970
-1.43876891,-0.00033570
-1.42876891,-0.00033570
-1.41876891,-0.00033570
-1.40876891,-0.00033570
-1.39876891,-0.00033570
-1.38876891,0.00869778
-1.37876891,-0.00033570
-1.36876891,-0.00033570
-1.35876891,-0.00939970
-1.34876891,-0.00939970
-1.33876891,-0.00939970
-1.32876891,-0.00939970
-1.31876891,-0.00939970
-1.30876891,-0.00939970
-1.29876891,-0.00939970
-1.28876891,-0.00033570
-1.27876891,-0.00033570
-1.26876891,-0.00033570
-1.25876891,-0.00033570
-1.24876891,-0.00033570
-1.23876891,-0.00033570
-1.22876891,-0.00939970
-1.21876891,-0.00033570
-1.20876891,-0.00939970
-1.19876891,-0.00939970
-1.18876891,-0.00033570
-1.17876891,-0.00939970
-1.16876891,-0.00939970
-1.15876891,-0.00033570
-1.14876891,-0.00033570
