Time,Channel A
(us),(V)

-2.02391698,-0.00033570
-2.01391698,-0.00033570
-2.00391698,-0.00033570
-1.99391698,-0.00033570
-1.98391698,-0.00939970
-1.97391698,-0.00939970
-1.96391698,-0.00033570
-1.95391698,-0.00033570
-1.94391698,-0.00033570
-1.93391698,-0.00033570
-1.92391698,-0.00033570
-1.91391698,-0.00939970
-1.90391698,-0.00033570
-1.89391698,-0.00033570
-1.88391698,-0.00033570
-1.87391698,-0.00033570
-1.86391698,-0.00033570
-1.85391698,-0.00033570
-1.84391698,-0.00033570
-1.83391698,-0.00939970
-1.82391698,-0.00033570
-1.81391698,-0.00939970
-1.80391698,-0.00939970
-1.79391698,-0.00033570
-1.78391698,-0.00033570
-1.77391698,-0.00033570
-1.76391698,-0.00033570
-1.75391698,-0.00033570
-1.74391698,0.00869778
-1.73391698,0.01776177
-1.72391698,0.01776177
-1.71391698,-0.00033570
-1.70391698,-0.01843318
-1.69391698,-0.01843318
-1.68391698,-0.01843318
-1.67391698,-0.00939970
-1.66391698,-0.00033570
-1.65391698,-0.00033570
-1.64391698,-0.00939970
-1.63391698,-0.00033570
-1.62391698,-0.00033570
-1.61391698,-0.00033570
-1.60391698,-0.00033570
-1.59391698,-0.00033570
-1.58391698,-0.00939970
-1.57391698,-0.01843318
-1.56391698,-0.02746666
-1.55391698,-0.01843318
-1.54391698,0.00869778
-1.53391698,0.01776177
-1.52391698,0.01776177
-1.51391698,0.00869778
-1.50391698,-0.00939970
-1.49391698,-0.00939970
-1.48391698,-0.00939970
-1.47391698,-0.00033570
-1.46391698,-0.00033570
-1.45391698,-0.00939970
-1.44391698,-0.00939970
-1.43391698,-0.00939970
-1.42391698,-0.00033570
-1.41391698,-0.00033570
-1.40391698,-0.00033570
-1.39391698,-0.00033570
-1.38391698,-0.00033570
-1.37391698,-0.00939970
-1.36391698,-0.00939970
-1.35391698,-0.00939970
-1.34391698,-0.00033570
-1.33391698,-0.00939970
-1.32391698,-0.00033570
-1.31391698,-0.00939970
-1.30391698,-0.00033570
-1.29391698,0.00869778
-1.28391698,-0.00033570
-1.27391698,-0.00033570
-1.26391698,-0.00939970
-1.25391698,-0.00939970
-1.24391698,-0.00939970
-1.23391698,-0.00939970
-1.22391698,-0.00033570
-1.21391698,-0.00939970
-1.20391698,-0.00033570
-1.19391698,-0.00939970
-1.18391698,-0.00033570
-1.17391698,-0.00033570
-1.16391698,-0.00033570
-1.15391698,-0.00939970
-1.14391698,-0.00939970
